Date,Mail,Early
09/19/2020,10,0
09/21/2020,67,0
09/22/2020,126,0
09/23/2020,101,0
09/24/2020,79,0
09/25/2020,107,0
09/28/2020,330,0
09/29/2020,175,0
09/30/2020,191,0
10/01/2020,152,0
10/02/2020,1155,0
10/03/2020,1604,0
10/05/2020,3003,0
10/06/2020,25975,0
10/07/2020,20523,0
10/08/2020,16749,0
10/09/2020,16038,0
10/10/2020,10979,0
10/12/2020,6309,0
10/13/2020,6981,0
10/14/2020,15018,0
10/15/2020,12512,0
10/16/2020,9024,0
10/17/2020,8451,0
10/19/2020,12892,8448
10/20/2020,33936,7863
10/21/2020,20377,7561
10/22/2020,14127,7649
10/23/2020,12155,7804
10/24/2020,11993,5532
10/25/2020,5247,4446
